Airline,Aircraft,FlightDuration,TravelMonth,IsInternational,SeatsEconomy,SeatsPremium,PitchEconomy,PitchPremium,WidthEconomy,WidthPremium,PriceEconomy,PricePremium,PriceRelative,SeatsTotal,PitchDifference,WidthDifference,PercentPremiumSeats
Singapore,Boeing,12.75,Oct,International,184,28,32,38,19,20,1431,1564,0.09,212,6,1,13.21
Singapore,Boeing,12.75,Jul,International,184,28,32,38,19,20,1431,1564,0.09,212,6,1,13.21
AirFrance,Boeing,8.33,Aug,International,200,28,32,38,17,19,2918,3972,0.36,228,6,2,12.28
AirFrance,Boeing,8.33,Sep,International,200,28,32,38,17,19,2918,3972,0.36,228,6,2,12.28
AirFrance,Boeing,8.33,Oct,International,200,28,32,38,17,19,2918,3972,0.36,228,6,2,12.28
AirFrance,Boeing,7.5,Oct,International,200,28,32,38,17,19,2581,2781,0.08,228,6,2,12.28
AirFrance,Boeing,6.83,Aug,International,200,28,32,38,17,19,2860,3063,0.07,228,6,2,12.28
AirFrance,Boeing,8.75,Jul,International,200,28,32,38,17,19,3026,3226,0.07,228,6,2,12.28
AirFrance,Boeing,8.75,Aug,International,200,28,32,38,17,19,3026,3226,0.07,228,6,2,12.28
AirFrance,Boeing,8.75,Sep,International,200,28,32,38,17,19,3026,3226,0.07,228,6,2,12.28
AirFrance,Boeing,7.66,Aug,International,200,28,32,38,17,19,3057,3167,0.04,228,6,2,12.28
AirFrance,Boeing,6.83,Sep,International,200,28,32,38,17,19,3057,3167,0.04,228,6,2,12.28
AirFrance,Boeing,6.83,Oct,International,200,28,32,38,17,19,3057,3167,0.04,228,6,2,12.28
AirFrance,Boeing,9.5,Jul,International,200,28,32,38,17,19,3414,3524,0.03,228,6,2,12.28
AirFrance,Boeing,9.5,Aug,International,200,28,32,38,17,19,3414,3524,0.03,228,6,2,12.28
AirFrance,Boeing,9.5,Sep,International,200,28,32,38,17,19,3414,3524,0.03,228,6,2,12.28
AirFrance,Boeing,9.5,Oct,International,200,28,32,38,17,19,3414,3524,0.03,228,6,2,12.28
AirFrance,Boeing,7.75,Jul,International,174,24,32,38,17,19,3215,3325,0.03,198,6,2,12.12
AirFrance,Boeing,7.75,Aug,International,174,24,32,38,17,19,3215,3325,0.03,198,6,2,12.12
AirFrance,Boeing,7.75,Sep,International,174,24,32,38,17,19,3215,3325,0.03,198,6,2,12.12
AirFrance,Boeing,7.83,Oct,International,174,24,32,38,17,19,3215,3325,0.03,198,6,2,12.12
AirFrance,Boeing,9.41,Aug,International,200,28,32,38,17,19,3480,3589,0.03,228,6,2,12.28
AirFrance,Boeing,9.41,Sep,International,200,28,32,38,17,19,3480,3589,0.03,228,6,2,12.28
AirFrance,Boeing,9.41,Oct,International,200,28,32,38,17,19,3480,3589,0.03,228,6,2,12.28
AirFrance,Boeing,11.75,Jul,International,174,24,32,38,17,19,3593,3702,0.03,198,6,2,12.12
AirFrance,Boeing,11.75,Aug,International,174,24,32,38,17,19,3593,3702,0.03,198,6,2,12.12
AirFrance,Boeing,11.91,Jul,International,200,28,32,38,17,19,3159,3243,0.03,228,6,2,12.28
AirFrance,Boeing,11.91,Aug,International,200,28,32,38,17,19,3159,3243,0.03,228,6,2,12.28
AirFrance,Boeing,11.91,Sep,International,200,28,32,38,17,19,3159,3243,0.03,228,6,2,12.28
AirFrance,Boeing,11.91,Oct,International,200,28,32,38,17,19,3159,3243,0.03,228,6,2,12.28
British,Boeing,13.83,Aug,International,203,24,31,38,18,19,3102,7414,1.39,227,7,1,10.57
British,Boeing,13.83,Sep,International,203,24,31,38,18,19,3102,7414,1.39,227,7,1,10.57
British,Boeing,13.83,Oct,International,203,24,31,38,18,19,3102,7414,1.39,227,7,1,10.57
British,Boeing,13.33,Aug,International,203,24,31,38,18,19,2166,2470,0.14,227,7,1,10.57
British,Boeing,13.33,Sep,International,203,24,31,38,18,19,2166,2470,0.14,227,7,1,10.57
British,Boeing,13.33,Oct,International,203,24,31,38,18,19,2166,2470,0.14,227,7,1,10.57
British,Boeing,8.91,Aug,International,203,24,31,38,18,19,649,1152,0.77,227,7,1,10.57
British,Boeing,8.91,Sep,International,203,24,31,38,18,19,575,853,0.48,227,7,1,10.57
British,Boeing,8.91,Oct,International,203,24,31,38,18,19,575,853,0.48,227,7,1,10.57
British,Boeing,9.58,Aug,International,203,24,31,38,18,19,797,826,0.04,227,7,1,10.57
British,Boeing,9.58,Oct,International,203,24,31,38,18,19,524,797,0.52,227,7,1,10.57
British,Boeing,9.58,Sep,International,203,24,31,38,18,19,582,797,0.37,227,7,1,10.57
Jet,Boeing,3.25,Aug,International,124,16,30,40,17,21,167,483,1.89,140,10,4,11.43
Jet,Boeing,3.25,Sep,International,124,16,30,40,17,21,167,483,1.89,140,10,4,11.43
Jet,Boeing,3.25,Oct,International,124,16,30,40,17,21,167,483,1.89,140,10,4,11.43
Jet,Boeing,3.25,Jul,International,124,16,30,40,17,21,139,398,1.87,140,10,4,11.43
Jet,Boeing,3.25,Oct,International,124,16,30,40,17,21,149,398,1.67,140,10,4,11.43
Jet,Boeing,4.16,Jul,International,124,16,30,40,17,21,197,520,1.64,140,10,4,11.43
Jet,Boeing,4.16,Oct,International,124,16,30,40,17,21,211,534,1.53,140,10,4,11.43
Jet,Boeing,4.08,Aug,International,124,16,30,40,17,21,139,318,1.29,140,10,4,11.43
Jet,Boeing,2.5,Jul,International,124,16,30,40,17,21,118,267,1.26,140,10,4,11.43
Jet,Boeing,2.5,Sep,International,124,16,30,40,17,21,118,267,1.26,140,10,4,11.43
Jet,Boeing,2.5,Oct,International,124,16,30,40,17,21,118,267,1.26,140,10,4,11.43
Jet,Boeing,2.66,Jul,International,124,16,30,40,17,21,108,228,1.11,140,10,4,11.43
Jet,Boeing,2.66,Sep,International,124,16,30,40,17,21,108,228,1.11,140,10,4,11.43
Jet,Boeing,2.66,Oct,International,124,16,30,40,17,21,108,228,1.11,140,10,4,11.43
Jet,Boeing,4.16,Aug,International,124,16,30,40,17,21,297,620,1.09,140,10,4,11.43
Jet,Boeing,3.25,Aug,International,124,16,30,40,17,21,234,483,1.06,140,10,4,11.43
